c_calafate;Calafate;;;;;;;;;;;;;x
c_calafate_adj;Calafateño;;;;;;;;;;;;;x
c_chalten;Chaltén;;;;;;;;;;;;;x
c_chalten_adj;Chaltenense;;;;;;;;;;;;;x
c_leona;Leona;;;;;;;;;;;;;x
c_leona_adj;Leonesa;;;;;;;;;;;;;x
b_el_chalten_SC;El Chaltén;El Chaltén;El Chaltén;El Chaltén;;;;;;;;;x
b_kaike_aike_SC;Kaike Aike;Kaike Aike;Kaike Aike;Kaike Aike;;;;;;;;;x
b_san_martin_SC;San Martín;San Martin;San Martin;San Martín;;;;;;;;;x
b_punta_del_lago_SC;Punta del Lago;Pointe du Lac;Seespitze;Punta del Lago;;;;;;;;;x
b_lago_tar_SC;Lago Tar;Lac Tar;Tar-See;Lago Tar;;;;;;;;;x
b_rio_meseta_SC;Río Meseta;Rivière Meseta;Meseta-Fluss;Río Meseta;;;;;;;;;x
b_el_condor_SC;Cóndor;Condor;Kondor;Cóndor;;;;;;;;;x
b_el_calafate_SC;El Calafate;Calafate;Calafate;Calafate;;;;;;;;;x
b_bandera_SC;Bandera;Bandera;Bandera;Bandera;;;;;;;;;x
b_nibepo_aike_SC;Nibepo Aike;Nibepo Aike;Nibepo Aike;Nibepo Aike;;;;;;;;;x
b_alice_SC;Alice;Alice;Alice;Alice;;;;;;;;;x
b_rio_bote_SC;Río Bote;Rivière Bote;Bote-Fluss;Río Bote;;;;;;;;;x
b_charles_fuhr_SC;Charles Fuhr;Charles Fuhr;Charles Fuhr;Charles Fuhr;;;;;;;;;x
b_quien_sabe_SC;Quién Sabe;Quién Sabe;Quién Sabe;Quién Sabe;;;;;;;;;x
b_la_leona_SC;La Leona;La Leona;La Leona;La Leona;;;;;;;;;x
b_lago_viedma_SC;Lago Viedma;Lac Viedma;Viedma-See;Lago Viedma;;;;;;;;;x
b_la_irene_SC;La Irene;La Irene;La Irene;La Irene;;;;;;;;;x
b_helsingfors_SC;Helsingfors;Helsingfors;Helsingfors;Helsingfors;;;;;;;;;x
b_la_querencia_SC;La Querencia;La Querencia;La Querencia;La Querencia;;;;;;;;;x
b_la_herradura_SC;La Herradura;La Herradura;La Herradura;La Herradura;;;;;;;;;x
b_felix_aguilar_SC;Félix Aguilar;Félix Aguilar;Félix Aguilar;Félix Aguilar;;;;;;;;;x
### Kingdom of Tierra del Fuego ###
k_tierra_del_fuego;Tierra del Fuego;Terre de Feu;Feuerland;Tierra del Fuego;;;;;;;;;x
k_tierra_del_fuego_adj;Fueguino;;;;;;;;;;;;;x
d_isla_del_fuego;Isla del Fuego;;;;;;;;;;;;;x
d_isla_del_fuego_adj;Fueguino;;;;;;;;;;;;;x
d_yaganes;Yaganes;;;;;;;;;;;;;x
d_yaganes_adj;Yagán;;;;;;;;;;;;;x
c_ushuaia;Ushuaia;;;;;;;;;;;;;x
c_ushuaia_adj;Ushuaiense;;;;;;;;;;;;;x
c_rio_grande_del_fuego;Río Grande;;;;;;;;;;;;;x
c_rio_grande_del_fuego_adj;Riograndense;;;;;;;;;;;;;x
c_porvenir;Porvenir;;;;;;;;;;;;;x
c_porvenir_adj;Porvenireño;;;;;;;;;;;;;x
c_navarino;Navarino;;;;;;;;;;;;;x
c_navarino_adj;Navarinense;;;;;;;;;;;;;x
c_hornos;Cabo de Hornos;;;;;;;;;;;;;x
c_hornos_adj;Cabohorneano;;;;;;;;;;;;;x
c_agostini;Agostini;;;;;;;;;;;;;x
c_agostini_adj;Agostiniano;;;;;;;;;;;;;x
b_ushuaia_TF;Ushuaia;;;;;;;;;;;;;x
b_puerto_almanza_TF;Puerto Almanza;;;;;;;;;;;;;x
b_paso_garibaldi_TF;Paso Garibaldi;;;;;;;;;;;;;x
b_comandante_portillo_TF;Comandante Portillo;;;;;;;;;;;;;x
b_puerto_remolino_TF;Puerto Remolino;;;;;;;;;;;;;x
b_bahia_tethis_TF;Bahía Tethis;;;;;;;;;;;;;x
b_palacios_TF;Palacios;;;;;;;;;;;;;x
b_rio_grande_TF;Río Grande;;;;;;;;;;;;;x
b_tolhuin_TF;Tolhuin;;;;;;;;;;;;;x
b_san_pablo_TF;San Pablo;;;;;;;;;;;;;x
b_cullen_TF;Cullen;;;;;;;;;;;;;x
b_yehuin_TF;Yehuin;;;;;;;;;;;;;x
b_castillo_TF;Castillo;;;;;;;;;;;;;x
b_san_justo_TF;San Justo;;;;;;;;;;;;;x
b_cameron_TF;Cameron;;;;;;;;;;;;;x
b_porvenir_TF;Porvenir;;;;;;;;;;;;;x
b_cerro_sombrero_TF;Cerro Sombrero;;;;;;;;;;;;;x
b_munizaga_TF;Munizaga;;;;;;;;;;;;;x
b_san_martin_TF;San Martín;;;;;;;;;;;;;x
b_caleta_rosario_TF;Rosario;;;;;;;;;;;;;x
b_kovacic_TF;Kovacic;;;;;;;;;;;;;x
b_navarino_TF;Navarino;Navarin;Navarino;Navarino;;;;;;;;;x
b_puerto_williams_TF;Puerto Williams;Puerto Williams;Puerto Williams;Puerto Williams;;;;;;;;;x
b_mejillones_TF;Mejillones;Mejillones;Mejillones;Mejillones;;;;;;;;;x
b_wollaston_TF;Wollaston;Wollaston;Wollaston;Wollaston;;;;;;;;;x
b_lennox_TF;Lennox;Lennox;Lennox;Lennox;;;;;;;;;x
b_hermite_TF;Hermite;Hermite;Hermite;Hermite;;;;;;;;;x
### Kingdom of Malvinas ###
k_malvinas;Malvinas;;;;;;;;;;;;;x
k_malvinas_adj;Malvinense;;;;;;;;;;;;;x
d_malvinas;Malvinas;;;;;;;;;;;;;x
d_malvinas_adj;Malvinense;;;;;;;;;;;;;x
c_isla_soledad;Soledad;;;;;;;;;;;;;x
c_isla_soledad_adj;Soledense;;;;;;;;;;;;;x
c_gran_malvina;Gran Malvina;;;;;;;;;;;;;x
c_gran_malvina_adj;Granmalvinense;;;;;;;;;;;;;x
c_lafonia;Lafonia;;;;;;;;;;;;;x
c_lafonia_adj;Lafoniano;;;;;;;;;;;;;x
b_puerto_argentino_MV;Puerto Argentino;;;;;;;;;;;;;x
b_monte_agradable_MV;Monte Agradable;;;;;;;;;;;;;x
b_puerto_soledad_MV;Puerto Soledad;;;;;;;;;;;;;x
b_san_carlos_MV;San Carlos;;;;;;;;;;;;;x
b_puerto_johnson_MV;Puerto Johnson;;;;;;;;;;;;;x
b_salvador_MV;Salvador;;;;;;;;;;;;;x
b_escampado_verde_MV;Escampado Verde;;;;;;;;;;;;;x
b_howard_MV;Howard;;;;;;;;;;;;;x
b_albemarle_MV;Albemarle;;;;;;;;;;;;;x
b_chartres_MV;Chartres;;;;;;;;;;;;;x
b_dunnose_head_MV;Dunnose Head;;;;;;;;;;;;;x
b_fox_bay_MV;Fox Bay;;;;;;;;;;;;;x
b_stephens_MV;Stephens;;;;;;;;;;;;;x
b_hill_cove_MV;Hill Cove;;;;;;;;;;;;;x
b_darwin_MV;Darwin;;;;;;;;;;;;;x
b_goose_MV;Goose;;;;;;;;;;;;;x
b_port_king_MV;Port King;;;;;;;;;;;;;x
b_north_arm_MV;North Arm;;;;;;;;;;;;;x
b_egg_harbour_MV;Egg Harbour;;;;;;;;;;;;;x
b_arroyo_walker_MV;Arroyo Walker;;;;;;;;;;;;;x
b_lively_MV;Lively;;;;;;;;;;;;;x
