###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Mexico
e_yucatan;Yucatán;Yucatán;Yucatán;Yucatán;;;;;;;;;x
e_yucatan_adj;Yucatanense;Yucatanense;Yucatanense;Yucatanense;;;;;;;;;x
k_yucatan;Yucatán;Yucatán;Yucatán;Yucatán;;;;;;;;;x
k_yucatan_adj;Yucateco;Yucateco;Yucateco;Yucateco;;;;;;;;;x
d_merida;Mérida;Mérida;Mérida;Mérida;;;;;;;;;x
d_merida_adj;Meridense;Meridense;Meridense;Meridense;;;;;;;;;x
d_puuc;Puuc;Puuc;Puuc;Puuc;;;;;;;;;x
d_puuc_adj;Puuc;Puuc;Puuc;Puuc;;;;;;;;;x
c_maxcanu_adj;Maxcanuense;Maxcanuense;Maxcanuense;Maxcanuense;;;;;;;;;x
c_ticul_adj;Ticuleño;Ticuleño;Ticuleño;Ticuleño;;;;;;;;;x
c_tekax_adj;Tekaxeño;Tekaxeño;Tekaxeño;Tekaxeño;;;;;;;;;x
d_valladolid;Valladolid;Valladolid;Valladolid;Valladolid;;;;;;;;;x
d_valladolid_adj;Vallisoletano;Vallisoletano;Vallisoletano;Vallisoletano;;;;;;;;;x
c_valladolid_adj;Valladolidense;Valladolidense;Valladolidense;Valladolidense;;;;;;;;;x
c_holbox_adj;Holboxense;Holboxense;Holboxense;Holboxense;;;;;;;;;x
c_tizimin_adj;Tizimeño;Tizimeño;Tizimeño;Tizimeño;;;;;;;;;x
c_tinum_adj;Tinumense;Tinumense;Tinumense;Tinumense;;;;;;;;;x
d_izamal;Izamal;Izamal;Izamal;Izamal;;;;;;;;;x
d_izamal_adj;Izamaleño;Izamaleño;Izamaleño;Izamaleño;;;;;;;;;x
c_izamal_adj;Izamaleño;Izamaleño;Izamaleño;Izamaleño;;;;;;;;;x
c_celestun_adj;Celestunense;Celestunense;Celestunense;Celestunense;;;;;;;;;x
c_hunucma_adj;Hunucmaense;Hunucmaense;Hunucmaense;Hunucmaense;;;;;;;;;x
c_tecoh_adj;Tecohense;Tecohense;Tecohense;Tecohense;;;;;;;;;x
c_motul_adj;Motuleño;Motuleño;Motuleño;Motuleño;;;;;;;;;x
c_merida_adj;Meridano;Meridano;Meridano;Meridano;;;;;;;;;x
c_dzilam_adj;Dzilamense;Dzilamense;Dzilamense;Dzilamense;;;;;;;;;x


#Patagonia
e_patagonia;Patagonia;Patagonie;Patagonien;Patagonia;;;;;;;;;x
k_tierra_del_fuego;Tierra del Fuego;Terre de Feu;Feuerland;Tierra del Fuego;;;;;;;;;x
k_tierra_del_fuego_adj;Fueguino;;;;;;;;;;;;;x
c_cabo_de_hornos;Cape Horn;Cap Horn;Kap Hoorn;Cabo de Hornos;;;;;;;;;x
b_bahia_tethis_TF;Bahía Tethis;;;;;;;;;;;;;x
b_palacios_TF;Palacios;;;;;;;;;;;;;x
b_rio_grande_TF;Río Grande;;;;;;;;;;;;;x
b_tolhuin_TF;Tolhuin;;;;;;;;;;;;;x
b_san_pablo_TF;San Pablo;;;;;;;;;;;;;x
b_cullen_TF;Cullen;;;;;;;;;;;;;x
b_yehuin_TF;Yehuin;;;;;;;;;;;;;x
b_castillo_TF;Castillo;;;;;;;;;;;;;x
b_san_justo_TF;San Justo;;;;;;;;;;;;;x
b_cameron_TF;Cameron;;;;;;;;;;;;;x
b_porvenir_TF;Porvenir;;;;;;;;;;;;;x
b_cerro_sombrero_TF;Cerro Sombrero;;;;;;;;;;;;;x
b_munizaga_TF;Munizaga;;;;;;;;;;;;;x
b_san_martin_TF;San Martín;;;;;;;;;;;;;x
b_caleta_rosario_TF;Rosario;;;;;;;;;;;;;x
b_kovacic_TF;Kovacic;;;;;;;;;;;;;x
b_puerto_yartou_TF;Yartou;;;;;;;;;;;;;x
b_navarino_TF;Navarino;Navarin;Navarino;Navarino;;;;;;;;;x
b_puerto_williams_TF;Puerto Williams;Puerto Williams;Puerto Williams;Puerto Williams;;;;;;;;;x
b_mejillones_TF;Mejillones;Mejillones;Mejillones;Mejillones;;;;;;;;;x
b_wollaston_TF;Wollaston;Wollaston;Wollaston;Wollaston;;;;;;;;;x
b_lennox_TF;Lennox;Lennox;Lennox;Lennox;;;;;;;;;x
b_hermite_TF;Hermite;Hermite;Hermite;Hermite;;;;;;;;;x
b_isla_hornos_TF;Horn Island;Île Horn;Horn-Insel;Isla Hornos;;;;;;;;;x

b_puerto_harris_MG;Puerto Harris;;;;;;;;;;;;;x
b_almirante_schroeders_MG;Almirante Schroeders;;;;;;;;;;;;;x
b_dawson_MG;Dawson;;;;;;;;;;;;;x
b_wickham_MG;Wickham;;;;;;;;;;;;;x
b_san_grandoni_MG;San Grandoni;;;;;;;;;;;;;x
b_don_bosco_MG;Don Bosco;;;;;;;;;;;;;x
b_rossana_MG;Rossana;;;;;;;;;;;;;x
b_punta_arenas_MG;Punta Arenas;;;;;;;;;;;;;x
b_cabo_negro_MG;Cabo Negro;;;;;;;;;;;;;x
b_rio_seco_MG;Río Seco;;;;;;;;;;;;;x
b_bulnes_MG;Bulnes;;;;;;;;;;;;;x
b_ancon_sin_salida_MG;Ancón Sin Salida;;;;;;;;;;;;;x
b_ankle_MG;Ankle;;;;;;;;;;;;;x
b_garganta_alta_MG;Garganta Alta;;;;;;;;;;;;;x
b_riesco_MG;Riesco;;;;;;;;;;;;;x
b_el_trebol_MG;El Trébol;;;;;;;;;;;;;x
b_san_carlos_MG;San Carlos;;;;;;;;;;;;;x
b_eva_MG;Eva;;;;;;;;;;;;;x
b_el_salto_MG;El Salto;;;;;;;;;;;;;x
b_rio_leon_MG;Río León;;;;;;;;;;;;;x
b_santa_rosa_de_lima_MG;Santa Rosa de Lima;;;;;;;;;;;;;x
b_villa_tehuelches_MG;Villa Tehuelches;;;;;;;;;;;;;x
b_rio_verde_MG;Río Verde;;;;;;;;;;;;;x
b_san_braulio_MG;San Braulio;;;;;;;;;;;;;x
b_punta_isabela_MG;Punta Isabela;;;;;;;;;;;;;x
b_rayon_cifuentes_MG;Rayón Cifuentes;;;;;;;;;;;;;x
b_rio_blanco_MG;Río Blanco;;;;;;;;;;;;;x
b_las_vacas_MG;Las Vacas;;;;;;;;;;;;;x
b_san_gregorio_MG;San Gregorio;;;;;;;;;;;;;x
b_puerto_zenteno_MG;Puerto Zenteno;;;;;;;;;;;;;x
b_punta_delgada_MG;Punta Delgada;;;;;;;;;;;;;x
b_punta_dungeness_MG;Punta Dungeness;;;;;;;;;;;;;x
b_los_coipos_MG;Los Coipos;;;;;;;;;;;;;x
b_campo_la_avena_MG;Campo La Avena;;;;;;;;;;;;;x
b_campenaike_MG;Campenaike;;;;;;;;;;;;;x
b_isla_santa_ines_MG;Isla Santa Inés;;;;;;;;;;;;;x
b_isla_clarence_MG;Isla Clarence;;;;;;;;;;;;;x
b_isla_carlos_tercero_MG;Isla Carlos Tercero;;;;;;;;;;;;;x
b_isla_recalada_MG;Isla Recalada;;;;;;;;;;;;;x
b_isla_week_MG;Isla Week;;;;;;;;;;;;;x
b_isla_carlos_MG;Isla Carlos;;;;;;;;;;;;;x
b_isla_grafton_MG;Isla Grafton;;;;;;;;;;;;;x

b_puerto_argentino_MV;Puerto Argentino;;;;;;;;;;;;;x
b_monte_agradable_MV;Monte Agradable;;;;;;;;;;;;;x
b_puerto_soledad_MV;Puerto Soledad;;;;;;;;;;;;;x
b_san_carlos_MV;San Carlos;;;;;;;;;;;;;x
b_puerto_johnson_MV;Puerto Johnson;;;;;;;;;;;;;x
b_salvador_MV;Salvador;;;;;;;;;;;;;x
b_escampado_verde_MV;Escampado Verde;;;;;;;;;;;;;x
b_howard_MV;Howard;;;;;;;;;;;;;x
b_albemarle_MV;Albemarle;;;;;;;;;;;;;x
b_chartres_MV;Chartres;;;;;;;;;;;;;x
b_dunnose_head_MV;Dunnose Head;;;;;;;;;;;;;x
b_fox_bay_MV;Fox Bay;;;;;;;;;;;;;x
b_stephens_MV;Stephens;;;;;;;;;;;;;x
b_hill_cove_MV;Hill Cove;;;;;;;;;;;;;x
b_darwin_MV;Darwin;;;;;;;;;;;;;x
b_goose_MV;Goose;;;;;;;;;;;;;x
b_port_king_MV;Port King;;;;;;;;;;;;;x
b_north_arm_MV;North Arm;;;;;;;;;;;;;x
b_egg_harbour_MV;Egg Harbour;;;;;;;;;;;;;x
b_arroyo_walker_MV;Arroyo Walker;;;;;;;;;;;;;x
b_lively_MV;Lively;;;;;;;;;;;;;x

b_el_chalten_SC;El Chaltén;El Chaltén;El Chaltén;El Chaltén;;;;;;;;;x
b_kaike_aike_SC;Kaike Aike;Kaike Aike;Kaike Aike;Kaike Aike;;;;;;;;;x
b_san_martin_SC;San Martín;San Martin;San Martin;San Martín;;;;;;;;;x
b_punta_del_lago_SC;Punta del Lago;Pointe du Lac;Seespitze;Punta del Lago;;;;;;;;;x
b_lago_tar_SC;Lago Tar;Lac Tar;Tar-See;Lago Tar;;;;;;;;;x
b_rio_meseta_SC;Río Meseta;Rivière Meseta;Meseta-Fluss;Río Meseta;;;;;;;;;x
b_el_condor_SC;Cóndor;Condor;Kondor;Cóndor;;;;;;;;;x
b_el_calafate_SC;El Calafate;Calafate;Calafate;Calafate;;;;;;;;;x
b_bandera_SC;Bandera;Bandera;Bandera;Bandera;;;;;;;;;x
b_nibepo_aike_SC;Nibepo Aike;Nibepo Aike;Nibepo Aike;Nibepo Aike;;;;;;;;;x
b_alice_SC;Alice;Alice;Alice;Alice;;;;;;;;;x
b_rio_bote_SC;Río Bote;Rivière Bote;Bote-Fluss;Río Bote;;;;;;;;;x
b_charles_fuhr_SC;Charles Fuhr;Charles Fuhr;Charles Fuhr;Charles Fuhr;;;;;;;;;x
b_quien_sabe_SC;Quién Sabe;Quién Sabe;Quién Sabe;Quién Sabe;;;;;;;;;x
b_la_leona_SC;La Leona;La Leona;La Leona;La Leona;;;;;;;;;x
b_lago_viedma_SC;Lago Viedma;Lac Viedma;Viedma-See;Lago Viedma;;;;;;;;;x
b_la_irene_SC;La Irene;La Irene;La Irene;La Irene;;;;;;;;;x
b_helsingfors_SC;Helsingfors;Helsingfors;Helsingfors;Helsingfors;;;;;;;;;x
b_la_querencia_SC;La Querencia;La Querencia;La Querencia;La Querencia;;;;;;;;;x
b_la_herradura_SC;La Herradura;La Herradura;La Herradura;La Herradura;;;;;;;;;x
b_felix_aguilar_SC;Félix Aguilar;Félix Aguilar;Félix Aguilar;Félix Aguilar;;;;;;;;;x


###holdings
b_merida_YU;Mérida;Mérida;Mérida;Mérida;;;;;;;;;x
b_kanasin_YU;Kanasín;Kanasín;Kanasín;Kanasín;;;;;;;;;x
b_progreso_YU;Progreso;Progreso;Progreso;Progreso;;;;;;;;;x
b_conkal_YU;Conkal;Conkal;Conkal;Conkal;;;;;;;;;x
b_chicxulub_YU;Chicxulub;Chicxulub;Chicxulub;Chicxulub;;;;;;;;;x
b_tixpehual_YU;Tixpéhual;Tixpéhual;Tixpéhual;Tixpéhual;;;;;;;;;x
b_caucel_YU;Caucel;Caucel;Caucel;Caucel;;;;;;;;;x
b_motul_YU;Motul;Motul;Motul;Motul;;;;;;;;;x
b_tixkokob_YU;Tixkokob;Tixkokob;Tixkokob;Tixkokob;;;;;;;;;x
b_baca_YU;Baca;Baca;Baca;Baca;;;;;;;;;x
b_dzemul_YU;Dzemul;Dzemul;Dzemul;Dzemul;;;;;;;;;x
b_telchac_YU;Telchac;Telchac;Telchac;Telchac;;;;;;;;;x
b_cacalchen_YU;Cacalchén;Cacalchén;Cacalchén;Cacalchén;;;;;;;;;x
b_muxupip_YU;Muxupip;Muxupip;Muxupip;Muxupip;;;;;;;;;x
b_tecoh_YU;Tecoh;Tecoh;Tecoh;Tecoh;;;;;;;;;x
b_acanceh_YU;Acanceh;Acanceh;Acanceh;Acanceh;;;;;;;;;x
b_homun_YU;Homún;Homún;Homún;Homún;;;;;;;;;x
b_seye_YU;Seyé;Seyé;Seyé;Seyé;;;;;;;;;x
b_hocaba_YU;Hocabá;Hocabá;Hocabá;Hocabá;;;;;;;;;x
b_tahmek_YU;Tahmek;Tahmek;Tahmek;Tahmek;;;;;;;;;x
b_timucuy_YU;Timucuy;Timucuy;Timucuy;Timucuy;;;;;;;;;x
b_abala_YU;Abalá;Abalá;Abalá;Abalá;;;;;;;;;x
b_hunucma_YU;Hunucmá;Hunucmá;Hunucmá;Hunucmá;;;;;;;;;x
b_uman_YU;Umán;Umán;Umán;Umán;;;;;;;;;x
b_kinchil_YU;Kinchil;Kinchil;Kinchil;Kinchil;;;;;;;;;x
b_chochola_YU;Chocholá;Chocholá;Chocholá;Chocholá;;;;;;;;;x
b_tetiz_YU;Tetiz;Tetiz;Tetiz;Tetiz;;;;;;;;;x
b_ucu_YU;Ucú;Ucú;Ucú;Ucú;;;;;;;;;x
b_sisal_YU;Sisal;Sisal;Sisal;Sisal;;;;;;;;;x
b_celestun_YU;Celestún;Celestún;Celestún;Celestún;;;;;;;;;x
b_san_isidro_miramar_YU;San Isidro Miramar;San Isidro Miramar;San Isidro Miramar;San Isidro Miramar;;;;;;;;;x
b_real_de_salinas_YU;Real de Salinas;Real de Salinas;Real de Salinas;Real de Salinas;;;;;;;;;x
b_el_palmar_YU;El Palmar;El Palmar;El Palmar;El Palmar;;;;;;;;;x
b_isla_arena_YU;Isla Arena;Isla Arena;Isla Arena;Isla Arena;;;;;;;;;x
b_crucero_YU;Crucero;Crucero;Crucero;Crucero;;;;;;;;;x
b_jaina_YU;Jaina;Jaina;Jaina;Jaina;;;;;;;;;x
b_kantunil_YU;Kantunil;Kantunil;Kantunil;Kantunil;;;;;;;;;x
b_teya_YU;Teya;Teya;Teya;Teya;;;;;;;;;x
b_izamal_YU;Izamal;Izamal;Izamal;Izamal;;;;;;;;;x
b_tekanto_YU;Tekantó;Tekantó;Tekantó;Tekantó;;;;;;;;;x
b_kimbila_YU;Kimbilá;Kimbilá;Kimbilá;Kimbilá;;;;;;;;;x
b_hoctun_YU;Hoctún;Hoctún;Hoctún;Hoctún;;;;;;;;;x
b_tunkas_YU;Tunkás;Tunkás;Tunkás;Tunkás;;;;;;;;;x
b_sotuta_YU;Sotuta;Sotuta;Sotuta;Sotuta;;;;;;;;;x
b_tekit_YU;Tekit;Tekit;Tekit;Tekit;;;;;;;;;x
b_chumayel_YU;Chumayel;Chumayel;Chumayel;Chumayel;;;;;;;;;x
b_mayapan_YU;Mayapán;Mayapán;Mayapán;Mayapán;;;;;;;;;x
b_yaxcaba_YU;Yaxcabá;Yaxcabá;Yaxcabá;Yaxcabá;;;;;;;;;x
b_cantamayec_YU;Cantamayec;Cantamayec;Cantamayec;Cantamayec;;;;;;;;;x
b_mama_YU;Mama;Mama;Mama;Mama;;;;;;;;;x
b_buctzotz_YU;Buctzotz;Buctzotz;Buctzotz;Buctzotz;;;;;;;;;x
b_dzilam_de_bravo_YU;Dzilam de Bravo;Dzilam de Bravo;Dzilam de Bravo;Dzilam de Bravo;;;;;;;;;x
b_temax_YU;Temax;Temax;Temax;Temax;;;;;;;;;x
b_dzidzantun_YU;Dzidzantún;Dzidzantún;Dzidzantún;Dzidzantún;;;;;;;;;x
b_dzilam_gonzalez_YU;Dzilam González;Dzilam González;Dzilam González;Dzilam González;;;;;;;;;x
b_cansahcab_YU;Cansahcab;Cansahcab;Cansahcab;Cansahcab;;;;;;;;;x
b_dzoncauich_YU;Dzoncauich;Dzoncauich;Dzoncauich;Dzoncauich;;;;;;;;;x

b_tinum_YU;Tinúm;Tinúm;Tinúm;Tinúm;;;;;;;;;x
b_piste_YU;Pisté;Pisté;Pisté;Pisté;;;;;;;;;x
b_chichen_itza_YU;Chichén Itzá;Chichén Itzá;Chichén Itzá;Chichén Itzá;;;;;;;;;x
b_kaua_YU;Kaua;Kaua;Kaua;Kaua;;;;;;;;;x
b_yaxunah_YU;Yaxunáh;Yaxunáh;Yaxunáh;Yaxunáh;;;;;;;;;x
b_dzitas_YU;Dzitás;Dzitás;Dzitás;Dzitás;;;;;;;;;x
b_cuncumil_YU;Cuncumil;Cuncumil;Cuncumil;Cuncumil;;;;;;;;;x
b_valladolid_YU;Valladolid;Valladolid;Valladolid;Valladolid;;;;;;;;;x
b_chemax_YU;Chemax;Chemax;Chemax;Chemax;;;;;;;;;x
b_temozon_YU;Temozón;Temozón;Temozón;Temozón;;;;;;;;;x
b_tekom_YU;Tekom;Tekom;Tekom;Tekom;;;;;;;;;x
b_chichimila_YU;Chichimilá;Chichimilá;Chichimilá;Chichimilá;;;;;;;;;x
b_tixcacalcupul_YU;Tixcacalcupul;Tixcacalcupul;Tixcacalcupul;Tixcacalcupul;;;;;;;;;x
b_chikindzonot_YU;Chikindzonot;Chikindzonot;Chikindzonot;Chikindzonot;;;;;;;;;x
b_tizimin_YU;Tizimín;Tizimín;Tizimín;Tizimín;;;;;;;;;x
b_rio_lagartos_YU;Río Lagartos;Río Lagartos;Río Lagartos;Río Lagartos;;;;;;;;;x
b_espita_YU;Espita;Espita;Espita;Espita;;;;;;;;;x
b_panaba_YU;Panabá;Panabá;Panabá;Panabá;;;;;;;;;x
b_san_felipe_YU;San Felipe;San Felipe;San Felipe;San Felipe;;;;;;;;;x
b_sucila_YU;Sucilá;Sucilá;Sucilá;Sucilá;;;;;;;;;x
b_calotmul_YU;Calotmul;Calotmul;Calotmul;Calotmul;;;;;;;;;x
b_holbox_QR;Holbox;Holbox;Holbox;Holbox;;;;;;;;;x
b_holbox_QR1;Holbox 1;Holbox 1;Holbox 1;Holbox 1;;;;;;;;;x
b_holbox_QR2;Holbox 2;Holbox 2;Holbox 2;Holbox 2;;;;;;;;;x
b_holbox_QR3;Holbox 3;Holbox 3;Holbox 3;Holbox 3;;;;;;;;;x
b_holbox_QR4;Holbox 4;Holbox 4;Holbox 4;Holbox 4;;;;;;;;;x
b_holbox_QR5;Holbox 5;Holbox 5;Holbox 5;Holbox 5;;;;;;;;;x
b_holbox_QR6;Holbox 6;Holbox 6;Holbox 6;Holbox 6;;;;;;;;;x
b_tekax_YU;Tekax;Tekax;Tekax;Tekax;;;;;;;;;x
b_peto_YU;Peto;Peto;Peto;Peto;;;;;;;;;x
b_tzucacab_YU;Tzucacab;Tzucacab;Tzucacab;Tzucacab;;;;;;;;;x
b_akil_YU;Akil;Akil;Akil;Akil;;;;;;;;;x
b_tixmehuac;Tixmehuac;Tixmehuac;Tixmehuac;Tixmehuac;;;;;;;;;x
b_chacsinkin_YU;Chacsinkín;Chacsinkín;Chacsinkín;Chacsinkín;;;;;;;;;x
b_tahdziu_YU;Tahdziú;Tahdziú;Tahdziú;Tahdziú;;;;;;;;;x
b_uxmal_YU;Uxmal;Uxmal;Uxmal;Uxmal;;;;;;;;;x
b_ticul_YU;Ticul;Ticul;Ticul;Ticul;;;;;;;;;x
b_mani_YU;Maní;Maní;Maní;Maní;;;;;;;;;x
b_muna_YU;Muna;Muna;Muna;Muna;;;;;;;;;x
b_oxkutzcab_YU;Oxkutzcab;Oxkutzcab;Oxkutzcab;Oxkutzcab;;;;;;;;;x
b_santa_elena_YU;Santa Elena;Santa Elena;Santa Elena;Santa Elena;;;;;;;;;x
b_chapab_YU;Chapab;Chapab;Chapab;Chapab;;;;;;;;;x
b_maxcanu_YU;Maxcanú;Maxcanú;Maxcanú;Maxcanú;;;;;;;;;x
b_halacho_YU;Halachó;Halachó;Halachó;Halachó;;;;;;;;;x
b_opichen_YU;Opichén;Opichén;Opichén;Opichén;;;;;;;;;x
b_kopoma_YU;Kopomá;Kopomá;Kopomá;Kopomá;;;;;;;;;x
b_sanakte_YU;Sanakté;Sanakté;Sanakté;Sanakté;;;;;;;;;x
b_anya_YU;Anya;Anya;Anya;Anya;;;;;;;;;x
b_lazaro_cardenas_YU;Lázaro Cárdenas;Lázaro Cárdenas;Lázaro Cárdenas;Lázaro Cárdenas;;;;;;;;;x

