#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Decision
EVTDESC_synodal_synod_0200_DEADLOCKED;The petitions cannot be reconciled and no stable majority forms. The fathers adjourn without an effective decree, while the Synodal Chancery quietly prepares for an earlier return to council.;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0200_SCANDALOUS;Evidence of gifts, threats, and worldly interference overshadows the deliberations. Whatever the merits of the adopted petition, the churches speak more of scandal than unity.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0200_DEADLOCK;The churches must prepare to meet again.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0200_DEFENSE;The Synod has judged that the faithful must be defended.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0200_MISSIONS;The Synod sends new missions to the scattered faithful.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0200_REFORM;The Synod commands a reform of clerical discipline.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0200_CONTINUITY;The Synod confirms [d_synodal.Holder.Location.GetName] and the Presiding Prelate.;;;;;;;;;;;;;x

# Event modifiers
synodal_synod_recently_held;Recent General Synod;;;;;;;;;;;;;x
synodal_synod_recently_held_desc;The churches will not be summoned to another ordinary General Synod until this cooldown expires.;;;;;;;;;;;;;x
synodal_synod_preparation;General Synod in Preparation;;;;;;;;;;;;;x
synodal_synod_preparation_desc;Delegates and petitions are being prepared for the coming General Synod.;;;;;;;;;;;;;x
synodal_defense_policy;Defense of the Faithful;;;;;;;;;;;;;x
synodal_defense_policy_desc;The General Synod has urged rulers and bishops to protect threatened Synodal communities.;;;;;;;;;;;;;x
synodal_missionary_policy;Synodal Missionary Priority;;;;;;;;;;;;;x
synodal_missionary_policy_desc;The General Synod has made the support of missions a priority for the churches.;;;;;;;;;;;;;x
synodal_missionary_mandate;Mandate to the Missions;;;;;;;;;;;;;x
synodal_missionary_mandate_desc;This chaplain has received the Synod's mandate to strengthen scattered churches and preach the faith.;;;;;;;;;;;;;x
synodal_moral_reform_policy;Synodal Clerical Reform;;;;;;;;;;;;;x
synodal_moral_reform_policy_desc;The ruler publicly supports the General Synod's decrees on clerical discipline.;;;;;;;;;;;;;x
synodal_reformed_clergy;Renewed Clerical Discipline;;;;;;;;;;;;;x
synodal_reformed_clergy_desc;This bishop has accepted the Synod's call to learning, virtue, and discipline.;;;;;;;;;;;;;x
synodal_prelate_confirmed;Confirmed by the General Synod;;;;;;;;;;;;;x
synodal_prelate_confirmed_desc;The assembled bishops have confirmed this Presiding Prelate and [d_synodal.Holder.Location.GetName]'s place as the current Synodal seat.;;;;;;;;;;;;;x
synodal_synod_manipulator;Exposed Synodal Manipulator;;;;;;;;;;;;;x
synodal_synod_manipulator_desc;This ruler's worldly interference in the General Synod became a public scandal.;;;;;;;;;;;;;x

# Opinion modifiers
synodal_politically_pressured;Politically Pressured Me;;;;;;;;;;;;;x
synodal_coerced_by_ruler;Coerced My Synodal Delegation;;;;;;;;;;;;;x

# Moral-authority entries
synodal_triumphal_synod;Triumphal General Synod;;;;;;;;;;;;;x
synodal_harmonious_synod;Harmonious General Synod;;;;;;;;;;;;;x
synodal_contentious_synod;Contentious General Synod;;;;;;;;;;;;;x
synodal_deadlocked_synod;Deadlocked General Synod;;;;;;;;;;;;;x
synodal_scandalous_synod;Scandalous General Synod;;;;;;;;;;;;;x
